Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2017-07-06,2.8621533,,,,0.21806334,0.15734407
2017-07-07,,,20.28087,,,
2017-07-08,,,,,,
2017-07-09,,,,,,
2017-07-10,,,21.806334,,0.12657915,0.25210112
2017-07-11,0.775825,,,,,
2017-07-12,,,,,,
2017-07-13,,,,,,
2017-07-14,,,,,,
2017-07-15,,,,,,
2017-07-16,,,,,,
2017-07-17,,,14.633706,,,
2017-07-18,,,,,,
2017-07-19,,,,,,
2017-07-20,,,,,,
2017-07-21,,,,,,
2017-07-22,0.13610004,,2.5671356,,0.09820328,0.1819041
2017-07-23,,,,,,
2017-07-24,,,,,,
2017-07-25,,,,,,
2017-07-26,0.86498356,,,,,
2017-07-27,,,,,,
2017-07-28,,,,,,
2017-07-29,,,8.494422,,0.15174079,0.5597982
2017-07-30,,,,,,
2017-07-31,,,,,,
2017-08-01,,,,,,
2017-08-02,,,,,,
2017-08-03,,,,,,
2017-08-04,,,,,,
2017-08-05,,,,,,
2017-08-06,9.47061,,11.353195,,0.19558637,0.313374
2017-08-07,,,,,,
2017-08-08,,,,,,
2017-08-09,,,,,,
2017-08-10,,,21.806334,,0.1819041,1.2430488
2017-08-11,,,,,,
2017-08-12,,,,,,
2017-08-13,1.1560912,,,,,
2017-08-14,,,,,,
2017-08-15,,,,,,
2017-08-16,,,,,,
2017-08-17,,,24.31234,,,
2017-08-18,,,,,,
2017-08-19,,,,,,
2017-08-20,,,,,,
2017-08-21,1.9207222,30.221426,12.657915,,0.20280871,1.1987818
2017-08-22,0.46697253,7.9001946,,,0.091333464,1.1560912
2017-08-23,,,,,,
2017-08-24,,,,,,
2017-08-25,0.19558637,,11.77243,,,
2017-08-26,,,,,,
2017-08-27,,,,,,
2017-08-28,,,,,,
2017-08-29,,,8.808093,,0.15174079,0.86498356
2017-08-30,,,,,0.094706096,
2017-08-31,,,,,,
2017-09-01,,,,,,
2017-09-02,15.734407,,,,,
2017-09-03,,,,,,
2017-09-04,,,,,,
2017-09-05,1.4370779,4.585823,,,,
2017-09-06,0.72155213,,19.558636,,0.2614104,0.6710759
2017-09-07,,,,,,
2017-09-08,,,,,,
2017-09-09,1.2430488,6.8335385,,,,
2017-09-10,,,,,0.1819041,0.6471778
2017-09-11,,,,,,
2017-09-12,,,,,,
2017-09-13,,,,,0.23446539,0.93004495
2017-09-14,,,,,,
2017-09-15,,,,,,
2017-09-16,,,,,,
2017-09-17,,,18.862122,,0.22611569,1.3859012
2017-09-18,,,15.734407,,,
2017-09-19,,,,,,
2017-09-20,,,,,,
2017-09-21,,,,,,
2017-09-22,,,,,,
